word,"number",length
ACCOLADES,"7510",4
ACCOMANDO,"7321",4
ACCOMMODATE,"7311",4
ACCOMMODATED,"73111",5
ACCOMMODATES,"73110",5
ACCOMMODATING,"7311",4
ACCOMMODATION,"73162",5
ACCOMMODATIONS,"731620",6
ACCOMMODATIVE,"73118",5
ACCOMPANIED,"73921",5
ACCOMPANIES,"73920",5
ACCOMPANIMENT,"7392321",7
ACCOMPANIMENT,"7392321",7
ACCOMPANIMENTS,"73923210",8
ACCOMPANIMENTS,"73923210",8
ACCOMPANIST,"739201",6
ACCOMPANY,"7392",4
ACCOMPANYING,"7392",4
ACCOMPLI,"7395",4
ACCOMPLI,"7395",4
ACCOMPLICE,"73950",5
ACCOMPLICES,"739500",6
ACCOMPLISH,"73956",5
ACCOMPLISHED,"739561",6
ACCOMPLISHES,"739560",6
ACCOMPLISHING,"73956",5
ACCOMPLISHMENT,"73956321",8
ACCOMPLISHMENTS,"739563210",9
ACCOR,"74",2
ACCOR&apos;S,"740",3
ACCORD,"741",3
ACCORD&apos;S,"7410",4
ACCORDANCE,"74120",5
ACCORDED,"7411",4
ACCORDING,"741",3
ACCORDINGLY,"7415",4
ACCORDION,"7412",4
ACCORDIONS,"74120",5
ACCORDS,"7410",4
ACCOST,"701",3
ACCOSTED,"7011",4
ACCOSTING,"701",3
ACCOUNT,"721",3
ACCOUNT&apos;S,"7210",4
ACCOUNTABILITY,"721951",6
ACCOUNTABLE,"72195",5
ACCOUNTANCY,"721210",6
ACCOUNTANT,"72121",5
ACCOUNTANT&apos;S,"721210",6
ACCOUNTANTS,"721210",6
ACCOUNTANTS&apos;,"721210",6
ACCOUNTED,"7211",4
ACCOUNTEMP,"72139",5
ACCOUNTEMPS,"721390",6
ACCOUNTING,"721",3
ACCOUNTING,"72",2
ACCOUNTS,"7210",4
ACCOUTERMENT,"714321",6
ACCOUTERMENTS,"7143210",7
ACCOUTREMENT,"714321",6
ACCOUTREMENTS,"7143210",7
ACCRA,"74",2
ACCREDIT,"7411",4
ACCREDITATION,"741162",6
ACCREDITATIONS,"7411620",7
ACCREDITED,"74111",5
ACCREDITING,"7411",4
ACCRETED,"7411",4
ACCRETION,"7462",4
ACCRUAL,"745",3
ACCRUALS,"7450",4
ACCRUE,"74",2
ACCRUED,"741",3
ACCRUES,"740",3
ACCRUING,"74",2
ACCU,"7",1
ACCUHEALTH,"75",2
ACCUMULATE,"7351",4
ACCUMULATED,"73511",5
ACCUMULATES,"73510",5
ACCUMULATING,"7351",4
ACCUMULATION,"73562",5
ACCUMULATIONS,"735620",6
ACCUMULATIVE,"73518",5
ACCUMULATIVELY,"735185",6
ACCUMULATIVELY,"735185",6
ACCUMULATOR,"73514",5
ACCUMULATORS,"735140",6
ACCURACIES,"7400",4
ACCURACY,"740",3
ACCURATE,"741",3
ACCURATELY,"7415",4
ACCURAY,"74",2
ACCURAY&apos;S,"740",3
ACCURIDE,"741",3
ACCURSO,"740",3
ACCUSATION,"7062",4
ACCUSATION,"7062",4
ACCUSATIONS,"70620",5
ACCUSATIONS,"70620",5
ACCUSATIVE,"7018",4
ACCUSATORY,"7014",4
ACCUSE,"70",2
ACCUSED,"701",3
ACCUSER,"704",3
ACCUSERS,"7040",4
ACCUSES,"700",3
ACCUSING,"70",2
ACCUSINGLY,"705",3
ACCUSTOM,"7013",4
ACCUSTOMED,"70131",5
ACCUTANE,"712",3
ACE,"0",1
ACECOMM,"073",3
ACED,"01",2
ACER,"04",2
ACERBIC,"0497",4
ACERO,"04",2
ACERO,"04",2
ACERO,"4",1
ACERRA,"04",2
ACES,"00",2
ACETAMINOPHEN,"013282",6
ACETATE,"011",3
ACETIC,"017",3
ACETIC,"017",3
ACETO,"01",2
ACETOCHLOR,"01754",5
ACETONE,"012",3
ACETOSYRINGONE,"010472",6
ACETYLCHOLINE,"015752",6
ACETYLCHOLINE,"015752",6
ACETYLENE,"0152",4
ACEVEDO,"081",3
ACEVES,"080",3
ACEY,"0",1
ACHAEAN,"62",2
ACHATZ,"710",3
ACHE,"7",1
ACHEBE,"69",2
ACHED,"71",2
ACHEE,"6",1
ACHENBACH,"7297",4
ACHENBAUM,"7293",4
ACHES,"70",2
ACHESON,"602",3
ACHESON&apos;S,"6020",4
ACHESONS,"6020",4
ACHEY,"6",1
ACHIEVA,"68",2
ACHIEVABLE,"6895",4
ACHIEVE,"68",2
ACHIEVED,"681",3
ACHIEVEMENT,"68321",5
ACHIEVEMENTS,"683210",6
ACHIEVER,"682004",6
ACHIEVERS,"6840",4
ACHIEVES,"682000",6
ACHIEVING,"68",2
ACHILLE,"75",2
ACHILLES,"750",3
ACHILLES&apos;,"750",3
ACHING,"7",1
ACHINGLY,"75",2
ACHMED,"31",2
ACHOA,"6",1
ACHOA&apos;S,"60",2
ACHOO,"6",1
ACHOR,"74",2
ACHORD,"741",3
ACHORN,"742",3
ACHTENBERG,"712947",6
ACHTERBERG,"714947",6
ACHY,"7",1
ACID,"01",2
ACIDIC,"017",3
ACIDIFICATION,"018762",6
ACIDIFIED,"0181",4
ACIDIFIES,"0180",4
ACIDIFY,"018",3
ACIDITY,"011",3
ACIDLY,"015",3
ACIDOSIS,"0100",4
ACIDS,"010",3
ACIDURIA,"014",3
ACIERNO,"042",3
ACK,"7",1
ACKER,"74",2
ACKER&apos;S,"740",3
ACKERLEY,"745",3
ACKERLY,"745",3
ACKERMAN,"7432",4
ACKERMANN,"7432",4
ACKERMANVILLE,"743285",6
ACKERSON,"7402",4
ACKERT,"741",3
ACKHOUSE,"70",2
ACKLAND,"7521",4
ACKLES,"750",3
ACKLEY,"75",2
ACKLIN,"752",3
ACKMAN,"732",3
ACKNOWLEDGE,"7256",4
ACKNOWLEDGEABLE,"725695",6
ACKNOWLEDGED,"72561",5
ACKNOWLEDGEMENT,"7256321",7
ACKNOWLEDGEMENTS,"72563210",8
ACKNOWLEDGES,"72560",5
ACKNOWLEDGING,"7256",4
ACKNOWLEDGMENT,"7256321",7
ACKROYD,"741",3
ACKROYD&apos;S,"7410",4
ACMAT,"731",3
ACMAT&apos;S,"7310",4
ACME,"73",2
ACME&apos;S,"730",3
ACNE,"72",2
ACOCELLA,"765",3
ACOFF,"78",2
ACOG,"77",2
ACOLYTE,"751",3
ACOLYTES,"7510",4
ACORD,"741",3
ACORDIA,"741",3
ACORN,"742",3
ACORN&apos;S,"7420",4
ACORNS,"7420",4
ACOSTA,"701",3
ACOTT,"71",2
ACOUSTIC,"7017",4
ACOUSTICAL,"70175",5
ACOUSTICALLY,"70175",5
ACOUSTICS,"70170",5
ACQUAINT,"721",3
ACQUAINTANCE,"72120",5
ACQUAINTANCES,"721200",6
ACQUAINTANCESHIP,"7212069",7
ACQUAINTED,"7211",4
ACQUAINTED,"721",3
ACQUAVIVA,"788",3
ACQUIESCE,"70",2
ACQUIESCED,"701",3
ACQUIESCENCE,"7020",4
ACQUIESCING,"70",2
ACQUIRE,"74",2
ACQUIRED,"741",3
ACQUIRER,"744",3
ACQUIRER&apos;S,"7440",4
ACQUIRERS,"7440",4
ACQUIRES,"740",3
ACQUIRING,"74",2
ACQUIRING,"74",2
ACQUISITION,"7062",4
ACQUISITION&apos;S,"70620",5
ACQUISITIONS,"70620",5
ACQUISITIVE,"7018",4
ACQUIT,"71",2
ACQUITAINE,"712",3
ACQUITS,"710",3
ACQUITTAL,"715",3
ACQUITTALS,"7150",4
ACQUITTED,"711",3
ACQUITTING,"71",2
ACRE,"74",2
ACREAGE,"746",3
ACREAGE,"746",3
ACREE,"74",2
ACRES,"740",3
ACREY,"74",2
ACRI,"74",2
ACRID,"741",3
ACRIMONIOUS,"74320",5
ACRIMONY,"7432",4
ACRO,"74",2
ACROBAT,"7491",4
ACROBATIC,"74917",5
ACROBATICS,"749170",6
ACROBATS,"74910",5
ACROLEIN,"7452",4
ACRONYM,"7423",4
ACRONYMS,"74230",5
ACROPOLIS,"74950",5
ACROSS,"740",3
ACRYLIC,"7457",4
ACRYLICS,"74570",5
ACT,"71",2
ACT&apos;S,"710",3
ACTAVA,"718",3
ACTAVA&apos;S,"7180",4
ACTAVAS,"7180",4
ACTED,"711",3
ACTEL,"715",3
ACTIGALL,"7175",4
ACTIN,"712",3
ACTING,"71",2
ACTINIDE,"7121",4
ACTINIDIA,"7121",4
ACTINOMYCOSIS,"7123700",7
ACTION,"762",3
ACTION&apos;S,"7620",4
ACTIONABLE,"76295",5
ACTIONS,"7620",4
ACTIVASE,"7180",4
ACTIVATE,"7181",4
ACTIVATED,"71811",5
ACTIVATES,"71810",5
ACTIVATING,"7181",4
ACTIVATION,"71862",5
ACTIVATOR,"71814",5
ACTIVE,"718",3
ACTIVE&apos;S,"7180",4
ACTIVELY,"7185",4
ACTIVES,"7180",4
ACTIVISION,"71862",5
ACTIVISM,"71803",5
ACTIVIST,"71801",5
ACTIVISTS,"718010",6
ACTIVISTS&apos;,"718010",6
ACTIVITIES,"71810",5
ACTIVITY,"7181",4
ACTMEDIA,"7131",4
ACTODINE,"7112",4
ACTON,"712",3
ACTOR,"714",3
ACTOR&apos;S,"7140",4
ACTORS,"7140",4
ACTORS&apos;,"7140",4
ACTRESS,"7140",4
ACTRESS&apos;S,"71400",5
ACTRESSES,"71400",5
ACTS,"710",3
ACTS,"70",2
ACTUAL,"765",3
ACTUAL,"765",3
ACTUALITY,"7651",4
ACTUALIZE,"7650",4
ACTUALLY,"765",3
ACTUALLY,"765",3
ACTUALLY,"765",3
ACTUARIAL,"7645",4
ACTUARIES,"7640",4
ACTUARY,"764",3
ACTUATE,"761",3
ACTUATOR,"7114",4
ACTUATOR,"7614",4
ACTUATORS,"71140",5
ACTUATORS,"76140",5
ACTUS,"710",3
ACUFF,"78",2
ACUITY,"71",2
ACUMEN,"732",3
ACUNA,"72",2
ACUPUNCTURE,"79764",5
ACURA,"74",2
ACURA&apos;S,"740",3
ACURAS,"740",3
ACUSON,"702",3
ACUSTAR,"7014",4
ACUSYST,"7001",4
ACUTE,"71",2
ACUTELY,"715",3
ACUTENESS,"7120",4
ACYCLOVIR,"07584",5
AD,"1",1
AD&apos;S,"10",2
AD-HOC,"17",2
AD-LIB,"159",3
AD-NAUSEAM,"1203",4
AD-NAUSEUM,"1203",4
ADA,"1",1
ADA&apos;S,"10",2
ADABEL,"195",3
ADABELLE,"195",3
ADACHI,"17",2
ADAGE,"16",2
ADAGIO,"16",2
ADAH,"1",1
ADAIR,"14",2
ADAIRE,"14",2
ADAK,"17",2
ADALAH,"15",2
ADALIA,"15",2
ADAM,"13",2
ADAM&apos;S,"130",3
ADAMANT,"1321",4
ADAMANTLY,"13215",5
ADAMCIK,"1367",4
ADAMCZAK,"1367",4
ADAMCZYK,"1367",4
ADAME,"13",2
ADAMEC,"137",3
ADAMEK,"137",3
ADAMES,"130",3
ADAMI,"13",2
ADAMIK,"137",3
ADAMINA,"132",3
ADAMKUS,"1370",4
ADAMO,"13",2
ADAMOWICZ,"1386",4
ADAMS,"130",3
ADAMS&apos;,"130",3
ADAMS&apos;S,"1300",4
ADAMSKI,"1307",4
ADAMSON,"1302",4
ADAMSTOWN,"13012",5
ADAN,"12",2
ADAPSO,"190",3
ADAPT,"191",3
ADAPTABILITY,"191951",6
ADAPTABLE,"19195",5
ADAPTAPLEX,"1919570",7
ADAPTATION,"19162",5
ADAPTATIONS,"191620",6
ADAPTATIONS,"191620",6
ADAPTEC,"1917",4
ADAPTEC&apos;S,"19170",5
ADAPTED,"1911",4
ADAPTER,"1914",4
ADAPTERS,"19140",5
ADAPTING,"191",3
ADAPTIVE,"1918",4
ADAPTOR,"1914",4
ADAPTORS,"19140",5
ADAPTS,"1910",4
ADAR,"14",2
ADARAND,"1421",4
ADAS,"10",2
ADAY,"1",1
ADAZA,"10",2
ADCOCK,"177",3
ADCOX,"1770",4
ADD,"1",1
ADDAIR,"14",2
ADDAMS,"130",3
ADDED,"11",2
ADDENDUM,"1213",4
ADDENDUMS,"12130",5
ADDEO,"1",1
ADDER,"14",2
ADDERLEY,"145",3
ADDICKS,"170",3
ADDICT,"171",3
ADDICT,"171",3
ADDICTED,"1711",4
ADDICTING,"171",3
ADDICTION,"1762",4
ADDICTIONS,"17620",5
ADDICTIVE,"1718",4
ADDICTS,"1710",4
ADDICTS,"1710",4
ADDIDAS,"110",3
ADDIDAS&apos;,"110",3
ADDIDAS&apos;S,"1100",4
ADDIDASES,"1100",4
ADDIE,"1",1
ADDING,"1",1
ADDINGTON,"112",3
ADDIS,"10",2
ADDIS-ABABA,"1099",4
ADDIS-ABABA,"1099",4
ADDISON,"102",3
ADDISON&apos;S,"1020",4
ADDITION,"162",3
ADDITIONAL,"1625",4
ADDITIONALLY,"1625",4
ADDITIONS,"1620",4
ADDITIVE,"118",3
ADDITIVES,"1180",4
ADDLE,"15",2
ADDLED,"151",3
ADDLEMAN,"1532",4
ADDRESS,"140",3
ADDRESS,"140",3
ADDRESSABLE,"14095",5
ADDRESSED,"1401",4
ADDRESSEE,"140",3
ADDRESSES,"1400",4
ADDRESSES,"1400",4
ADDRESSING,"140",3
ADDS,"10",2
ADDUCI,"16",2
ADDUCT,"171",3
ADDWEST,"101",3
ADDY,"1",1
ADDYSTON,"1012",4
ADE,"1",1
ADEE,"1",1
ADEL,"15",2
ADELA,"15",2
ADELAAR,"154",3
ADELAIDE,"151",3
ADELANTO,"1521",4
ADELBERT,"15941",5
ADELE,"15",2
ADELE&apos;S,"150",3
ADELINE,"152",3
ADELIZZI,"150",3
ADELL,"15",2
ADELL&apos;S,"150",3
ADELLE,"15",2
ADELMAN,"1532",4
ADELMAN,"1532",4
ADELMANN,"1532",4
ADELPHA,"158",3
ADELPHI,"158",3
ADELPHIA,"158",3
